Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC80050682015303LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20151030143609_20151030152112.01,LT8BPF20151029121006_20151113000000.02,L8CPF20151001_20151231.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/10/30,2015:303:14:58:26.1534320,2015:303:14:58:57.9234290,9,13.48,66.02393524,97.99416217,0,0,-1,-1,Y,LPGS_2.5.1,11°34'03.04"S,73°14'18.35"W,10°31'07.61"S,73°54'04.93"W,10°52'50.41"S,72°11'46.46"W,12°37'15.67"S,72°34'14.70"W,12°15'18.68"S,74°17'11.76"W,-11.56751,-73.23843,-10.51878,-73.90137,-10.88067,-72.19624,-12.62102,-72.57075,-12.25519,-74.2866,LC80050682015303LGN00,LC80050682015303LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015303LGN00
LC80050682015287LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20151014143339_20151014152041.01,LT8BPF20151014142945_20151014152212.01,L8CPF20151001_20151231.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/14,2015:287:14:58:19.8898850,2015:287:14:58:51.6598820,9,12.03,65.06351441,84.48917816,6.959,7.167,122,-1,Y,LPGS_2.5.1,11°34'03.04"S,73°13'24.38"W,10°31'07.36"S,73°53'10.61"W,10°52'50.38"S,72°10'52.36"W,12°37'15.71"S,72°33'20.92"W,12°15'18.50"S,74°16'17.72"W,-11.56751,-73.22344,-10.51871,-73.88628,-10.88066,-72.18121,-12.62103,-72.55581,-12.25514,-74.27159,LC80050682015287LGN00,LC80050682015287LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015287LGN00
LC80050682015271LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150928143626_20150928151906.01,LT8BPF20150928143232_20150928152035.01,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/09/28,2015:271:14:58:20.1686530,2015:271:14:58:51.9386500,9,78.6,62.271765,71.89149392,0,0,-1,-1,Y,LPGS_2.5.1,11°34'03.94"S,73°14'24.58"W,10°31'08.18"S,73°54'11.05"W,10°52'51.60"S,72°11'52.19"W,12°37'16.68"S,72°34'20.86"W,12°15'19.04"S,74°17'18.28"W,-11.56776,-73.24016,-10.51894,-73.90307,-10.881,-72.19783,-12.6213,-72.57246,-12.25529,-74.28841,LC80050682015271LGN00,LC80050682015271LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015271LGN00
LC80050682015255LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150912141315_20150912151700.01,LT8BPF20150912140921_20150912151831.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/12,2015:255:14:58:14.2351130,2015:255:14:58:46.0051090,9,35.25,58.29061139,61.86163175,7.396,6.011,97,-1,Y,LPGS_2.5.1,11°34'04.22"S,73°14'06.00"W,10°31'08.33"S,73°53'52.51"W,10°52'52.03"S,72°11'33.43"W,12°37'17.04"S,72°34'02.35"W,12°15'19.12"S,74°17'00.06"W,-11.56784,-73.235,-10.51898,-73.89792,-10.88112,-72.19262,-12.6214,-72.56732,-12.25531,-74.28335,LC80050682015255LGN00,LC80050682015255LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015255LGN00
LC80050682015239LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150827075508_20150827150518.01,LT8BPF20150827075114_20150827150649.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/08/27,2015:239:14:58:07.2906060,2015:239:14:58:39.0606030,9,65.74,53.96249771,54.30257788,0,0,-1,-1,Y,LPGS_2.5.1,11°34'03.04"S,73°13'46.81"W,10°31'07.14"S,73°53'32.89"W,10°52'50.92"S,72°11'14.53"W,12°37'15.96"S,72°33'43.74"W,12°15'18.00"S,74°16'40.73"W,-11.56751,-73.22967,-10.51865,-73.89247,-10.88081,-72.18737,-12.6211,-72.56215,-12.255,-74.27798,LC80050682015239LGN00,LC80050682015239LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015239LGN00
LC80050682015223LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150811125140_20150811150511.01,LT8BPF20150811142703_20150811150642.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/08/11,2015:223:14:58:00.1955220,2015:223:14:58:31.9655190,9,75.99,50.01236273,48.58256686,0,0,-1,-1,Y,LPGS_2.5.1,11°34'03.94"S,73°13'38.03"W,10°31'07.86"S,73°53'23.89"W,10°52'51.78"S,72°11'05.64"W,12°37'17.04"S,72°33'35.06"W,12°15'18.86"S,74°16'31.87"W,-11.56776,-73.22723,-10.51885,-73.88997,-10.88105,-72.1849,-12.6214,-72.55974,-12.25524,-74.27552,LC80050682015223LGN00,LC80050682015223LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015223LGN00
LC80050682015207LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150726143052_20150726150506.01,LT8BPF20150726142658_20150726150716.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/26,2015:207:14:57:55.9642340,2015:207:14:58:27.7342300,9,49.66,46.9659699,44.24799289,6.943,5.398,49,-1,Y,LPGS_2.5.1,11°34'02.75"S,73°14'23.53"W,10°31'06.64"S,73°54'09.00"W,10°52'50.48"S,72°11'51.36"W,12°37'15.92"S,72°34'20.93"W,12°15'17.86"S,74°17'17.12"W,-11.56743,-73.23987,-10.51851,-73.9025,-10.88069,-72.1976,-12.62109,-72.57248,-12.25496,-74.28809,LC80050682015207LGN00,LC80050682015207LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015207LGN00
LC80050682015191LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150710143046_20150710150501.01,LT8BPF20150710142652_20150710150556.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,0,LGN,DAY,L1T,OLI_TIRS,2015/07/10,2015:191:14:57:50.1390220,2015:191:14:58:21.9090180,9,42.5,45.16543359,41.12126212,6.968,5.551,91,2,Y,LPGS_2.5.1,11°34'03.00"S,73°14'54.67"W,10°31'06.89"S,73°54'40.50"W,10°52'51.02"S,72°12'22.14"W,12°37'16.10"S,72°34'51.78"W,12°15'17.75"S,74°17'48.70"W,-11.5675,-73.24852,-10.51858,-73.91125,-10.88084,-72.20615,-12.62114,-72.58105,-12.25493,-74.29686,LC80050682015191LGN00,LC80050682015191LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015191LGN00
LC80050682015175LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150624143039_20150624150450.01,LT8BPF20150624142641_20150624150544.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/24,2015:175:14:57:38.9924460,2015:175:14:58:10.7624420,9,24.4,44.74505434,39.3055669,6.744,6.017,80,2,Y,LPGS_2.5.1,11°34'04.15"S,73°13'58.26"W,10°31'08.08"S,73°53'43.94"W,10°52'52.25"S,72°11'25.62"W,12°37'17.36"S,72°33'55.30"W,12°15'18.97"S,74°16'52.14"W,-11.56782,-73.23285,-10.51891,-73.89554,-10.88118,-72.19045,-12.62149,-72.56536,-12.25527,-74.28115,LC80050682015175LGN00,LC80050682015175LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015175LGN00
LC80050682015159LGN00, 005, 068, 005, 068,NADIR,FULL,NOMINAL,LO8BPF20150608143033_20150608150444.01,LT8BPF20150608142635_20150608150538.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,0,LGN,DAY,L1T,OLI_TIRS,2015/06/08,2015:159:14:57:33.1146420,2015:159:14:58:04.8846380,9,54.6,45.65912287,39.0540053,5.852,6.836,22,2,Y,LPGS_2.5.1,11°34'04.22"S,73°14'43.01"W,10°31'08.11"S,73°54'29.05"W,10°52'52.46"S,72°12'10.15"W,12°37'17.33"S,72°34'39.83"W,12°15'18.79"S,74°17'37.32"W,-11.56784,-73.24528,-10.51892,-73.90807,-10.88124,-72.20282,-12.62148,-72.57773,-12.25522,-74.2937,LC80050682015159LGN00,LC80050682015159LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80050682015159LGN00
