Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70050682016010EDC00,BUMPER,EDC,DAY,5,68,1/10/2016,2016:010:14:59:56.0739375,2016:010:15:00:22.8279374,9,9,12.23,0.04,1.08,47.66,0.14,59.46470642,113.8773651,"11°34'15.49""S","73°15'48.85""W","10°38'13.56""S","73°57'08.96""W","10°53'18.74""S","72°13'17.18""W","12°15'04.68""S","74°18'40.32""W","12°30'15.55""S","72°34'09.62""W",N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,5.115286,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1Gt,GLS2000,GEOTIFF,DEFINITIVE,"-10.62155   (10°37'17.58""S)"," -74.39021  (74°23'24.76""W)","-10.60940   (10°36'33.84""S)"," -72.16980  (72°10'11.28""W)","-12.51518   (12°30'54.65""S)"," -74.38610   (74°23'09.96""W)","-12.50080   (12°30'02.88""S)"," -72.15074   (72°09'02.66""W)",13961,16201,6981,8101,6981,8101,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57097,-73.26357,-10.6371,-73.95249,-10.88854,-72.22144,-12.2513,-74.3112,-12.50432,-72.56934,LE70050682016010EDC00,LE70050682016010EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682016010EDC00
LE70050682015295EDC00,BUMPER,EDC,DAY,5,68,10/22/2015,2015:295:14:58:42.0760624,2015:295:14:59:08.8301249,9,9,37.78,34.98,7.92,65.36,42.87,65.82762146,91.32286835,"11°34'14.84""S","73°14'44.41""W","10°38'17.41""S","73°56'06.40""W","10°53'24.14""S","72°12'11.27""W","12°15'06.73""S","74°17'39.26""W","12°30'19.15""S","72°33'05.22""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-8.315375,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61608   (10°36'57.89""S)"," -74.36554  (74°21'55.94""W)","-10.60375   (10°36'13.50""S)"," -72.14520  (72°08'42.72""W)","-12.52055   (12°31'13.98""S)"," -74.36124   (74°21'40.46""W)","-12.50596   (12°30'21.46""S)"," -72.12586   (72°07'33.10""W)",14041,16201,7021,8101,7021,8101,,,20,8.439,6.9,4.859,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57079,-73.24567,-10.63817,-73.93511,-10.89004,-72.20313,-12.25187,-74.29424,-12.50532,-72.55145,LE70050682015295EDC00,LE70050682015295EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015295EDC00
LE70050682015279EDC00,BUMPER,EDC,DAY,5,68,10/6/2015,2015:279:14:58:23.4087500,2015:279:14:58:50.1627500,9,9,49.84,26.34,7.93,96.77,68.31,63.85970306,77.92690277,"11°34'15.13""S","73°14'14.06""W","10°38'06.54""S","73°55'33.13""W","10°53'13.52""S","72°11'39.30""W","12°14'56.62""S","74°17'06.25""W","12°30'08.96""S","72°32'33.47""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,13.033658,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61335   (10°36'48.06""S)"," -74.35732  (74°21'26.35""W)","-10.60095   (10°36'03.42""S)"," -72.13427  (72°08'03.37""W)","-12.51782   (12°31'04.15""S)"," -74.35296   (74°21'10.66""W)","-12.50313   (12°30'11.27""S)"," -72.11486   (72°06'53.50""W)",14041,16221,7021,8111,7021,8111,,,26,11.805,10.25,5.857,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57087,-73.23724,-10.63515,-73.92587,-10.88709,-72.19425,-12.24906,-74.28507,-12.50249,-72.54263,LE70050682015279EDC00,LE70050682015279EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015279EDC00
LE70050682015263EDC00,BUMPER,EDC,DAY,5,68,9/20/2015,2015:263:14:58:19.3739374,2015:263:14:58:46.1280000,9,9,61.78,39.13,50.01,88.62,69.34,60.36911011,66.53379059,"11°34'18.48""S","73°14'41.42""W","10°38'14.57""S","73°56'02.54""W","10°53'17.20""S","72°12'09.29""W","12°15'05.26""S","74°17'30.73""W","12°30'13.82""S","72°32'58.60""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-16.171847,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61879   (10°37'07.64""S)"," -74.36828  (74°22'05.81""W)","-10.60651   (10°36'23.44""S)"," -72.15065  (72°09'02.34""W)","-12.51513   (12°30'54.47""S)"," -74.36401   (74°21'50.44""W)","-12.50060   (12°30'02.16""S)"," -72.13144   (72°07'53.18""W)",13981,16181,6991,8091,6991,8091,,,22,10.044,7.088,7.117,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.5718,-73.24484,-10.63738,-73.93404,-10.88811,-72.20258,-12.25146,-74.29187,-12.50384,-72.54961,LE70050682015263EDC00,LE70050682015263EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015263EDC00
LE70050682015231CUB00,BUMPER,CUB,DAY,5,68,8/19/2015,2015:231:14:58:13.0301874,2015:231:14:58:39.7842500,9,9,8.16,6.05,0.41,17.26,8.92,51.92520523,51.20196533,"11°34'18.70""S","73°13'55.96""W","10°38'12.80""S","73°55'17.15""W","10°53'15.83""S","72°11'24.04""W","12°15'05.22""S","74°16'46.67""W","12°30'13.93""S","72°32'14.68""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-11.045141,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61877   (10°37'07.57""S)"," -74.35457  (74°21'16.45""W)","-10.60639   (10°36'23.00""S)"," -72.13696  (72°08'13.06""W)","-12.51510   (12°30'54.36""S)"," -74.35021   (74°21'00.76""W)","-12.50045   (12°30'01.62""S)"," -72.11765   (72°07'03.54""W)",13981,16181,6991,8091,6991,8091,,,135,5.644,2.204,5.196,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57186,-73.23221,-10.63689,-73.92143,-10.88773,-72.19001,-12.25145,-74.27963,-12.50387,-72.53741,LE70050682015231CUB00,LE70050682015231CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015231CUB00
LE70050682015215CUB00,BUMPER,CUB,DAY,5,68,8/3/2015,2015:215:14:58:09.8618750,2015:215:14:58:36.6158750,9,9,20.3,9.29,22.14,22.12,27.66,48.38084412,46.20417404,"11°34'18.80""S","73°13'53.54""W","10°38'10.03""S","73°55'14.02""W","10°53'13.49""S","72°11'19.82""W","12°15'01.22""S","74°16'44.58""W","12°30'10.08""S","72°32'11.44""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,9.232834,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61605   (10°36'57.78""S)"," -74.35183  (74°21'06.59""W)","-10.60363   (10°36'13.07""S)"," -72.13150  (72°07'53.40""W)","-12.51780   (12°31'04.08""S)"," -74.34744   (74°20'50.78""W)","-12.50310   (12°30'11.16""S)"," -72.11210   (72°06'43.56""W)",14021,16201,7011,8101,7011,8101,,,87,6.15,2.572,5.586,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57189,-73.23154,-10.63612,-73.92056,-10.88708,-72.18884,-12.25034,-74.27905,-12.5028,-72.53651,LE70050682015215CUB00,LE70050682015215CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015215CUB00
LE70050682015183CUB00,BUMPER,CUB,DAY,5,68,7/2/2015,2015:183:14:58:01.4499374,2015:183:14:58:28.2039999,9,9,62.68,82.37,59.07,55.03,54.24,44.81673813,39.97526169,"11°34'17.29""S","73°13'51.46""W","10°38'07.15""S","73°55'11.10""W","10°53'10.97""S","72°11'16.01""W","12°14'58.31""S","74°16'40.33""W","12°30'07.78""S","72°32'06.29""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-3.46988,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,"-10.61877   (10°37'07.57""S)"," -74.35457  (74°21'16.45""W)","-10.60636   (10°36'22.90""S)"," -72.13422  (72°08'03.19""W)","-12.51239   (12°30'44.60""S)"," -74.35021   (74°21'00.76""W)","-12.49771   (12°29'51.76""S)"," -72.11492   (72°06'53.71""W)",13961,16201,6981,8101,6981,8101,,,11,3.6,2.29,2.778,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57147,-73.23096,-10.63532,-73.91975,-10.88638,-72.18778,-12.24953,-74.27787,-12.50216,-72.53508,LE70050682015183CUB00,LE70050682015183CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015183CUB00
LE70050682015119CUB00,BUMPER,CUB,DAY,5,68,4/29/2015,2015:119:14:57:40.1229374,2015:119:14:58:06.8769999,9,9,70.14,76.81,89.6,64.22,49.93,51.84189224,47.61148453,"11°34'16.54""S","73°13'39.58""W","10°38'13.06""S","73°54'58.90""W","10°53'16.94""S","72°11'06.07""W","12°15'04.07""S","74°16'28.52""W","12°30'13.68""S","72°31'56.78""W",N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,6.143592,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61604   (10°36'57.74""S)"," -74.34635  (74°20'46.86""W)","-10.60360   (10°36'12.96""S)"," -72.12876  (72°07'43.54""W)","-12.52050   (12°31'13.80""S)"," -74.34191   (74°20'30.88""W)","-12.50578   (12°30'20.81""S)"," -72.10932   (72°06'33.55""W)",14041,16181,7021,8091,7021,8091,,,25,8.376,6.818,4.866,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57126,-73.22766,-10.63696,-73.91636,-10.88804,-72.18502,-12.25113,-74.27459,-12.5038,-72.53244,LE70050682015119CUB00,LE70050682015119CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015119CUB00
LE70050682015103CUB00,BUMPER,CUB,DAY,5,68,4/13/2015,2015:103:14:57:34.6319375,2015:103:14:58:01.3859374,9,9,26.45,13.96,15.94,48.75,27.17,54.58156204,55.53486252,"11°34'17.47""S","73°13'56.53""W","10°38'15.11""S","73°55'18.16""W","10°53'19.21""S","72°11'24.79""W","12°15'07.63""S","74°16'47.24""W","12°30'17.60""S","72°32'15.00""W",N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-14.02344,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.62148   (10°37'17.33""S)"," -74.35730  (74°21'26.28""W)","-10.60912   (10°36'32.83""S)"," -72.13967  (72°08'22.81""W)","-12.51510   (12°30'54.36""S)"," -74.35297   (74°21'10.69""W)","-12.50048   (12°30'01.73""S)"," -72.12041   (72°07'13.48""W)",13961,16181,6981,8091,6981,8091,,,70,7.552,3.429,6.729,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57152,-73.23237,-10.63753,-73.92171,-10.88867,-72.19022,-12.25212,-74.27979,-12.50489,-72.5375,LE70050682015103CUB00,LE70050682015103CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015103CUB00
LE70050682015071CUB00,BUMPER,CUB,DAY,5,68,3/12/2015,2015:071:14:57:17.1099375,2015:071:14:57:43.8639374,9,9,56.42,81.79,81.36,40.32,22.23,57.9203186,77.50553894,"11°34'17.76""S","73°13'36.19""W","10°38'13.27""S","73°54'57.42""W","10°53'17.95""S","72°11'02.44""W","12°15'05.94""S","74°16'29.32""W","12°30'16.20""S","72°31'55.38""W",N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,4.439638,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,"-10.61875   (10°37'07.50""S)"," -74.34634  (74°20'46.82""W)","-10.60629   (10°36'22.64""S)"," -72.12600  (72°07'33.60""W)","-12.52050   (12°31'13.80""S)"," -74.34191   (74°20'30.88""W)","-12.50575   (12°30'20.70""S)"," -72.10656   (72°06'23.62""W)",14021,16201,7011,8101,7011,8101,,,19,7.461,2.915,6.868,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.5716,-73.22672,-10.63702,-73.91595,-10.88832,-72.18401,-12.25165,-74.27481,-12.5045,-72.53205,LE70050682015071CUB00,LE70050682015071CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70050682015071CUB00
