Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70060682016017EDC00,BUMPER,EDC,DAY, 006, 068,2016/01/17,2016:017:15:06:12.6980625,2016:017:15:06:39.4520624, 9, 9,  98.28,  99.08,  97.50,  96.94,  99.61,59.18753815,111.3079071,11°34'16.75"S,74°48'44.35"W,10°38'15.32"S,75°30'05.08"W,10°53'20.44"S,73°46'13.04"W,12°15'07.81"S,75°51'35.86"W,12°30'18.54"S,74°07'04.91"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,15.663804,HL,HL,HL,LL,HL,LL,HH,HL,LL,ETM+  L1Gt,GLS2000,GEOTIFF,DEFINITIVE,-10.61536   (10°36'55.30"S), -75.92332  (75°55'23.95"W),-10.61407   (10°36'50.65"S), -73.71015  (73°42'36.54"W),-12.50885   (12°30'31.86"S), -75.92955   (75°55'46.38"W),-12.50733   (12°30'26.39"S), -73.70145   (73°42'05.22"W),13961,16141,6981,8071,6981,8071,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57132,-74.81232,-10.63759,-75.50141,-10.88901,-73.77029,-12.25217,-75.85996,-12.50515,-74.11803,LE70060682016017EDC00,LE70060682016017EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682016017EDC00
LE70060682016001EDC01,BUMPER,EDC,DAY, 006, 068,2016/01/01,2016:001:15:05:57.8108124,2016:001:15:06:24.5648125, 9, 9,  58.98,  80.04,  96.09,  16.38,  43.42,60.0282402,116.33979034,11°34'16.46"S,74°47'56.29"W,10°38'15.14"S,75°29'17.09"W,10°53'20.44"S,73°45'25.38"W,12°15'08.35"S,75°50'49.13"W,12°30'19.01"S,74°06'18.47"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,5.867318,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61538   (10°36'55.37"S), -75.91510  (75°54'54.36"W),-10.61404   (10°36'50.54"S), -73.70192  (73°42'06.91"W),-12.50346   (12°30'12.46"S), -75.92125   (75°55'16.50"W),-12.50186   (12°30'06.70"S), -73.69320   (73°41'35.52"W),13921,16141,6961,8071,6961,8071,,,13,4.943,3.857,3.091,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57124,-74.79897,-10.63754,-75.48808,-10.88901,-73.75705,-12.25232,-75.84698,-12.50528,-74.10513,LE70060682016001EDC01,LE70060682016001EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70060682016001EDC01
LE70060682015350EDC01,BUMPER,EDC,DAY, 006, 068,2015/12/16,2015:350:15:05:44.9271249,2015:350:15:06:11.6811250, 9, 9,  81.25,  67.84,  78.14,  99.09,  79.92,61.58650208,118.07527161,11°34'15.42"S,74°47'52.69"W,10°38'12.52"S,75°29'13.02"W,10°53'18.06"S,73°45'20.81"W,12°15'03.17"S,75°50'43.91"W,12°30'14.11"S,74°06'12.82"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-3.823905,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61269   (10°36'45.68"S), -75.90960  (75°54'34.56"W),-10.61129   (10°36'40.64"S), -73.69371  (73°41'37.36"W),-12.50619   (12°30'22.28"S), -75.91573   (75°54'56.63"W),-12.50453   (12°30'16.31"S), -73.68490   (73°41'05.64"W),13961,16161,6981,8081,6981,8081,,,5,4.353,3.166,2.987,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57095,-74.79797,-10.63681,-75.48695,-10.88835,-73.75578,-12.25088,-75.84553,-12.50392,-74.10356,LE70060682015350EDC01,LE70060682015350EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015350EDC01
LE70060682015334EDC00,BUMPER,EDC,DAY, 006, 068,2015/11/30,2015:334:15:05:27.4353749,2015:334:15:05:54.1893750, 9, 9,  94.14,  98.03, 100.00,  80.17,  98.35,63.58705139,115.76150513,11°34'15.17"S,74°46'52.90"W,10°38'10.57"S,75°28'11.03"W,10°53'16.76"S,73°44'17.48"W,12°15'02.05"S,75°49'45.52"W,12°30'13.28"S,74°05'13.02"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-12.038126,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1Gt,GLS2000,GEOTIFF,DEFINITIVE,-10.61815   (10°37'05.34"S), -75.89591  (75°53'45.28"W),-10.61667   (10°37'00.01"S), -73.68271  (73°40'57.76"W),-12.50352   (12°30'12.67"S), -75.90192   (75°54'06.91"W),-12.50177   (12°30'06.37"S), -73.67387   (73°40'25.93"W),13901,16141,6951,8071,6951,8071,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57088,-74.78136,-10.63627,-75.46973,-10.88799,-73.73819,-12.25057,-75.82931,-12.50369,-74.08695,LE70060682015334EDC00,LE70060682015334EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015334EDC00
LE70060682015318EDC01,BUMPER,EDC,DAY, 006, 068,2015/11/14,2015:318:15:05:15.1508125,2015:318:15:05:41.9048750, 9, 9,  82.82,  85.63,  67.26,  88.60,  89.81,65.38446045,108.6998291,11°34'15.02"S,74°47'23.57"W,10°38'12.41"S,75°28'45.23"W,10°53'18.67"S,73°44'49.74"W,12°15'03.46"S,75°50'17.84"W,12°30'15.66"S,74°05'43.51"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-2.411194,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1Gt,GLS2000,GEOTIFF,DEFINITIVE,-10.61542   (10°36'55.51"S), -75.90138  (75°54'04.97"W),-10.61398   (10°36'50.33"S), -73.68821  (73°41'17.56"W),-12.50893   (12°30'32.15"S), -75.90746   (75°54'26.86"W),-12.50722   (12°30'25.99"S), -73.67937   (73°40'45.73"W),13961,16141,6981,8071,6981,8071,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57084,-74.78988,-10.63678,-75.47923,-10.88852,-73.74715,-12.25096,-75.83829,-12.50435,-74.09542,LE70060682015318EDC01,LE70060682015318EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015318EDC01
LE70060682015302EDC01,BUMPER,EDC,DAY, 006, 068,2015/10/29,2015:302:15:04:58.4833124,2015:302:15:05:25.2374374, 9, 9,  48.45,  51.35,  54.47,  34.47,  53.50,66.07791138,97.20555115,11°34'15.13"S,74°47'02.65"W,10°38'15.50"S,75°28'24.49"W,10°53'22.34"S,73°44'29.26"W,12°15'05.44"S,75°49'56.89"W,12°30'17.78"S,74°05'22.70"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-1.020391,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,-10.61544   (10°36'55.58"S), -75.89590  (75°53'45.24"W),-10.61396   (10°36'50.26"S), -73.68273  (73°40'57.83"W),-12.50895   (12°30'32.22"S), -75.90194   (75°54'06.98"W),-12.50719   (12°30'25.88"S), -73.67385   (73°40'25.86"W),13961,16141,6981,8071,6981,8071,,,18,16.859,14.255,9.001,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57087,-74.78407,-10.63764,-75.47347,-10.88954,-73.74146,-12.25151,-75.83247,-12.50494,-74.08964,LE70060682015302EDC01,LE70060682015302EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015302EDC01
LE70060682015286EDC00,BUMPER,EDC,DAY, 006, 068,2015/10/13,2015:286:15:04:43.1689374,2015:286:15:05:09.9229999, 9, 9,  56.27,  75.40,  76.15,  18.58,  54.96,64.95217896,83.65109253,11°34'14.92"S,74°47'17.02"W,10°38'08.48"S,75°28'37.38"W,10°53'15.22"S,73°44'42.90"W,12°15'00.72"S,75°50'09.28"W,12°30'13.39"S,74°05'35.95"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-12.477741,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,-10.61542   (10°36'55.51"S), -75.90413  (75°54'14.87"W),-10.61398   (10°36'50.33"S), -73.68821  (73°41'17.56"W),-12.50349   (12°30'12.56"S), -75.91020   (75°54'36.72"W),-12.50179   (12°30'06.44"S), -73.67940   (73°40'45.84"W),13921,16161,6961,8081,6961,8081,,,26,7.679,5.757,5.082,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57081,-74.78806,-10.63569,-75.47705,-10.88756,-73.74525,-12.2502,-75.83591,-12.50372,-74.09332,LE70060682015286EDC00,LE70060682015286EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015286EDC00
LE70060682015270EDC00,BUMPER,EDC,DAY, 006, 068,2015/09/27,2015:270:15:04:31.2790625,2015:270:15:04:58.0331250, 9, 9,  60.05,  66.49,  81.44,  20.44,  71.83,62.03319168,71.19606781,11°34'19.45"S,74°47'36.24"W,10°38'20.00"S,75°29'00.17"W,10°53'22.63"S,73°45'06.73"W,12°15'10.58"S,75°50'27.96"W,12°30'19.15"S,74°05'55.64"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-8.75868,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,-10.61542   (10°36'55.51"S), -75.90413  (75°54'14.87"W),-10.61399   (10°36'50.36"S), -73.69095  (73°41'27.42"W),-12.50892   (12°30'32.11"S), -75.91022   (75°54'36.79"W),-12.50723   (12°30'26.03"S), -73.68213   (73°40'55.67"W),13961,16141,6981,8071,6981,8071,,,42,5.668,3.431,4.512,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57207,-74.7934,-10.63889,-75.48338,-10.88962,-73.75187,-12.25294,-75.8411,-12.50532,-74.09879,LE70060682015270EDC00,LE70060682015270EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015270EDC00
LE70060682015254EDC00,BUMPER,EDC,DAY, 006, 068,2015/09/11,2015:254:15:04:27.5441875,2015:254:15:04:54.2982499, 9, 9,  76.30,  81.00,  94.45,  38.37,  91.39,58.02593994,61.30813599,11°34'19.52"S,74°46'53.26"W,10°38'15.54"S,75°28'15.02"W,10°53'18.74"S,73°44'21.91"W,12°15'08.06"S,75°49'44.72"W,12°30'16.70"S,74°05'12.70"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-16.201765,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,-10.62086   (10°37'15.10"S), -75.89866  (75°53'55.18"W),-10.61939   (10°37'09.80"S), -73.68544  (73°41'07.58"W),-12.50622   (12°30'22.39"S), -75.90469   (75°54'16.88"W),-12.50449   (12°30'16.16"S), -73.67662   (73°40'35.83"W),13901,16141,6951,8071,6951,8071,,,36,7.157,4.197,5.797,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57209,-74.78146,-10.63765,-75.47084,-10.88854,-73.73942,-12.25224,-75.82909,-12.50464,-74.08686,LE70060682015254EDC00,LE70060682015254EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015254EDC00
LE70060682015238CUB00,BUMPER,CUB,DAY, 006, 068,2015/08/26,2015:238:15:04:23.7309374,2015:238:15:04:50.4849375, 9, 9,  30.00,  31.57,  37.65,  19.36,  31.41,53.71664047,53.85961914,11°34'18.55"S,74°46'24.96"W,10°38'11.54"S,75°27'44.39"W,10°53'14.53"S,73°43'51.64"W,12°15'03.42"S,75°49'13.26"W,12°30'12.28"S,74°04'41.66"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-5.515573,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE,-10.61818   (10°37'05.45"S), -75.88768  (75°53'15.65"W),-10.61665   (10°36'59.94"S), -73.67723  (73°40'38.03"W),-12.50355   (12°30'12.78"S), -75.89364   (75°53'37.10"W),-12.50174   (12°30'06.26"S), -73.66835   (73°40'06.06"W),13901,16121,6951,8061,6951,8061,,,76,4.174,2.587,3.275,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57182,-74.7736,-10.63654,-75.46233,-10.88737,-73.73101,-12.25095,-75.82035,-12.50341,-74.07824,LE70060682015238CUB00,LE70060682015238CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682015238CUB00
